indicator,unit,time,regioncode,regionname,numvalue
Notification rate ,N/1000000,2015-02-01,AT,Austria,3028564.25
Notification rate ,N/1000000,2015-02-01,BE,Belgium,533937.3200000001
Notification rate ,N/1000000,2015-02-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-02-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-02-01,CZ,Czech Republic,284676.57
Notification rate ,N/1000000,2015-02-01,DE,Germany,5172570.6899999995
Notification rate ,N/1000000,2015-02-01,DK,Denmark,353374.68
Notification rate ,N/1000000,2015-02-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-02-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-02-01,ES,Spain,236815.99
Notification rate ,N/1000000,2015-02-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-02-01,FR,France,45141.18
Notification rate ,N/1000000,2015-02-01,HR,Croatia,8993410.190000001
Notification rate ,N/1000000,2015-02-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-02-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-02-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-02-01,IT,Italy,279625.44
Notification rate ,N/1000000,2015-02-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2015-02-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-02-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-02-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-02-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2015-02-01,NO,Norway,0.0
Notification rate ,N/1000000,2015-02-01,PL,Poland,184183.31
Notification rate ,N/1000000,2015-02-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-02-01,RO,Romania,100650.97
Notification rate ,N/1000000,2015-02-01,SE,Sweden,205183.86
Notification rate ,N/1000000,2015-02-01,SI,Slovenia,3878084.65
Notification rate ,N/1000000,2015-02-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-02-01,UK,United Kingdom,169613.33000000002
Notification rate ,N/1000000,2015-03-01,AT,Austria,6057128.5
Notification rate ,N/1000000,2015-03-01,BE,Belgium,533937.3200000001
Notification rate ,N/1000000,2015-03-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-03-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-03-01,CZ,Czech Republic,94892.19
Notification rate ,N/1000000,2015-03-01,DE,Germany,6613501.09
Notification rate ,N/1000000,2015-03-01,DK,Denmark,176687.34
Notification rate ,N/1000000,2015-03-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-03-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-03-01,ES,Spain,236815.99
Notification rate ,N/1000000,2015-03-01,FI,Finland,182756.78
Notification rate ,N/1000000,2015-03-01,FR,France,195611.81
Notification rate ,N/1000000,2015-03-01,HR,Croatia,13016777.91
Notification rate ,N/1000000,2015-03-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-03-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-03-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-03-01,IT,Italy,230279.77
Notification rate ,N/1000000,2015-03-01,LT,Lithuania,1369271.22
Notification rate ,N/1000000,2015-03-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-03-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-03-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-03-01,NL,Netherlands,59169.05
Notification rate ,N/1000000,2015-03-01,NO,Norway,387109.78
Notification rate ,N/1000000,2015-03-01,PL,Poland,289430.92
Notification rate ,N/1000000,2015-03-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-03-01,RO,Romania,0.0
Notification rate ,N/1000000,2015-03-01,SE,Sweden,102591.93
Notification rate ,N/1000000,2015-03-01,SI,Slovenia,969521.16
Notification rate ,N/1000000,2015-03-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-03-01,UK,United Kingdom,46258.18
Notification rate ,N/1000000,2015-04-01,AT,Austria,7338444.15
Notification rate ,N/1000000,2015-04-01,BE,Belgium,177979.1
Notification rate ,N/1000000,2015-04-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-04-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-04-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2015-04-01,DE,Germany,7106126.87
Notification rate ,N/1000000,2015-04-01,DK,Denmark,176687.34
Notification rate ,N/1000000,2015-04-01,EE,Estonia,760531.45
Notification rate ,N/1000000,2015-04-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-04-01,ES,Spain,86114.9
Notification rate ,N/1000000,2015-04-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-04-01,FR,France,1399376.83
Notification rate ,N/1000000,2015-04-01,HR,Croatia,8756741.5
Notification rate ,N/1000000,2015-04-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-04-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-04-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-04-01,IT,Italy,509905.22000000003
Notification rate ,N/1000000,2015-04-01,LT,Lithuania,1369271.22
Notification rate ,N/1000000,2015-04-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-04-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-04-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-04-01,NL,Netherlands,118338.11
Notification rate ,N/1000000,2015-04-01,NO,Norway,580664.67
Notification rate ,N/1000000,2015-04-01,PL,Poland,210495.21
Notification rate ,N/1000000,2015-04-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-04-01,RO,Romania,0.0
Notification rate ,N/1000000,2015-04-01,SE,Sweden,102591.93
Notification rate ,N/1000000,2015-04-01,SI,Slovenia,969521.16
Notification rate ,N/1000000,2015-04-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-04-01,UK,United Kingdom,107935.75
Notification rate ,N/1000000,2015-05-01,AT,Austria,7687893.87
Notification rate ,N/1000000,2015-05-01,BE,Belgium,1601811.96
Notification rate ,N/1000000,2015-05-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-05-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-05-01,CZ,Czech Republic,284676.57
Notification rate ,N/1000000,2015-05-01,DE,Germany,2931123.39
Notification rate ,N/1000000,2015-05-01,DK,Denmark,883436.71
Notification rate ,N/1000000,2015-05-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-05-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-05-01,ES,Spain,107643.63
Notification rate ,N/1000000,2015-05-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-05-01,FR,France,2242012.35
Notification rate ,N/1000000,2015-05-01,HR,Croatia,6863391.99
Notification rate ,N/1000000,2015-05-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-05-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-05-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-05-01,IT,Italy,509905.22000000003
Notification rate ,N/1000000,2015-05-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2015-05-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-05-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-05-01,MT,Malta,2274324.46
Notification rate ,N/1000000,2015-05-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2015-05-01,NO,Norway,774219.57
Notification rate ,N/1000000,2015-05-01,PL,Poland,131559.50999999998
Notification rate ,N/1000000,2015-05-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-05-01,RO,Romania,0.0
Notification rate ,N/1000000,2015-05-01,SE,Sweden,615551.6
Notification rate ,N/1000000,2015-05-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2015-05-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-05-01,UK,United Kingdom,215871.50999999998
Notification rate ,N/1000000,2015-06-01,AT,Austria,5474712.3
Notification rate ,N/1000000,2015-06-01,BE,Belgium,266968.66000000003
Notification rate ,N/1000000,2015-06-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-06-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-06-01,CZ,Czech Republic,94892.19
Notification rate ,N/1000000,2015-06-01,DE,Germany,1453246.05
Notification rate ,N/1000000,2015-06-01,DK,Denmark,0.0
Notification rate ,N/1000000,2015-06-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-06-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-06-01,ES,Spain,193758.54
Notification rate ,N/1000000,2015-06-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-06-01,FR,France,767400.2
Notification rate ,N/1000000,2015-06-01,HR,Croatia,1893349.51
Notification rate ,N/1000000,2015-06-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-06-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-06-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-06-01,IT,Italy,197382.65999999997
Notification rate ,N/1000000,2015-06-01,LT,Lithuania,5134767.090000001
Notification rate ,N/1000000,2015-06-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-06-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-06-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-06-01,NL,Netherlands,118338.11
Notification rate ,N/1000000,2015-06-01,NO,Norway,0.0
Notification rate ,N/1000000,2015-06-01,PL,Poland,184183.31
Notification rate ,N/1000000,2015-06-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-06-01,RO,Romania,150976.46000000002
Notification rate ,N/1000000,2015-06-01,SE,Sweden,615551.6
Notification rate ,N/1000000,2015-06-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2015-06-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-06-01,UK,United Kingdom,200452.11
Notification rate ,N/1000000,2015-07-01,AT,Austria,1048349.1599999999
Notification rate ,N/1000000,2015-07-01,BE,Belgium,0.0
Notification rate ,N/1000000,2015-07-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-07-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-07-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2015-07-01,DE,Germany,1108408.0
Notification rate ,N/1000000,2015-07-01,DK,Denmark,0.0
Notification rate ,N/1000000,2015-07-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-07-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-07-01,ES,Spain,129172.36000000002
Notification rate ,N/1000000,2015-07-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-07-01,FR,France,255800.06
Notification rate ,N/1000000,2015-07-01,HR,Croatia,0.0
Notification rate ,N/1000000,2015-07-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-07-01,IE,Ireland,427567.22000000003
Notification rate ,N/1000000,2015-07-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-07-01,IT,Italy,296073.99
Notification rate ,N/1000000,2015-07-01,LT,Lithuania,8900262.959999999
Notification rate ,N/1000000,2015-07-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-07-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-07-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-07-01,NL,Netherlands,118338.11
Notification rate ,N/1000000,2015-07-01,NO,Norway,193554.89
Notification rate ,N/1000000,2015-07-01,PL,Poland,52623.799999999996
Notification rate ,N/1000000,2015-07-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-07-01,RO,Romania,0.0
Notification rate ,N/1000000,2015-07-01,SE,Sweden,307775.8
Notification rate ,N/1000000,2015-07-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2015-07-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-07-01,UK,United Kingdom,107935.75
Notification rate ,N/1000000,2015-08-01,AT,Austria,349449.72000000003
Notification rate ,N/1000000,2015-08-01,BE,Belgium,0.0
Notification rate ,N/1000000,2015-08-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-08-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-08-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2015-08-01,DE,Germany,233997.24
Notification rate ,N/1000000,2015-08-01,DK,Denmark,0.0
Notification rate ,N/1000000,2015-08-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-08-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-08-01,ES,Spain,21528.72
Notification rate ,N/1000000,2015-08-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-08-01,FR,France,150470.62
Notification rate ,N/1000000,2015-08-01,HR,Croatia,0.0
Notification rate ,N/1000000,2015-08-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-08-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-08-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-08-01,IT,Italy,263176.88
Notification rate ,N/1000000,2015-08-01,LT,Lithuania,342317.8
Notification rate ,N/1000000,2015-08-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-08-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-08-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-08-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2015-08-01,NO,Norway,774219.57
Notification rate ,N/1000000,2015-08-01,PL,Poland,78935.7
Notification rate ,N/1000000,2015-08-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-08-01,RO,Romania,0.0
Notification rate ,N/1000000,2015-08-01,SE,Sweden,0.0
Notification rate ,N/1000000,2015-08-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2015-08-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-08-01,UK,United Kingdom,77096.96
Notification rate ,N/1000000,2015-09-01,AT,Austria,116483.24
Notification rate ,N/1000000,2015-09-01,BE,Belgium,0.0
Notification rate ,N/1000000,2015-09-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-09-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-09-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2015-09-01,DE,Germany,147787.73
Notification rate ,N/1000000,2015-09-01,DK,Denmark,0.0
Notification rate ,N/1000000,2015-09-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-09-01,EL,Greece,92097.83
Notification rate ,N/1000000,2015-09-01,ES,Spain,0.0
Notification rate ,N/1000000,2015-09-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-09-01,FR,France,15047.06
Notification rate ,N/1000000,2015-09-01,HR,Croatia,0.0
Notification rate ,N/1000000,2015-09-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-09-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-09-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-09-01,IT,Italy,246728.33
Notification rate ,N/1000000,2015-09-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2015-09-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-09-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-09-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-09-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2015-09-01,NO,Norway,0.0
Notification rate ,N/1000000,2015-09-01,PL,Poland,26311.899999999998
Notification rate ,N/1000000,2015-09-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-09-01,RO,Romania,0.0
Notification rate ,N/1000000,2015-09-01,SE,Sweden,0.0
Notification rate ,N/1000000,2015-09-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2015-09-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-09-01,UK,United Kingdom,46258.18
Notification rate ,N/1000000,2015-10-01,AT,Austria,0.0
Notification rate ,N/1000000,2015-10-01,BE,Belgium,266968.66000000003
Notification rate ,N/1000000,2015-10-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-10-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-10-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2015-10-01,DE,Germany,172419.02000000002
Notification rate ,N/1000000,2015-10-01,DK,Denmark,0.0
Notification rate ,N/1000000,2015-10-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-10-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-10-01,ES,Spain,0.0
Notification rate ,N/1000000,2015-10-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-10-01,FR,France,90282.37
Notification rate ,N/1000000,2015-10-01,HR,Croatia,0.0
Notification rate ,N/1000000,2015-10-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-10-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-10-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-10-01,IT,Italy,213831.22
Notification rate ,N/1000000,2015-10-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2015-10-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-10-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-10-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-10-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2015-10-01,NO,Norway,0.0
Notification rate ,N/1000000,2015-10-01,PL,Poland,0.0
Notification rate ,N/1000000,2015-10-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-10-01,RO,Romania,0.0
Notification rate ,N/1000000,2015-10-01,SE,Sweden,0.0
Notification rate ,N/1000000,2015-10-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2015-10-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-10-01,UK,United Kingdom,30838.78
Notification rate ,N/1000000,2015-11-01,AT,Austria,232966.48
Notification rate ,N/1000000,2015-11-01,BE,Belgium,177979.1
Notification rate ,N/1000000,2015-11-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-11-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-11-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2015-11-01,DE,Germany,61578.22
Notification rate ,N/1000000,2015-11-01,DK,Denmark,0.0
Notification rate ,N/1000000,2015-11-01,EE,Estonia,0.0
Notification rate ,N/1000000,2015-11-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-11-01,ES,Spain,0.0
Notification rate ,N/1000000,2015-11-01,FI,Finland,0.0
Notification rate ,N/1000000,2015-11-01,FR,France,60188.25
Notification rate ,N/1000000,2015-11-01,HR,Croatia,0.0
Notification rate ,N/1000000,2015-11-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-11-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-11-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-11-01,IT,Italy,542802.33
Notification rate ,N/1000000,2015-11-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2015-11-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-11-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-11-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-11-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2015-11-01,NO,Norway,0.0
Notification rate ,N/1000000,2015-11-01,PL,Poland,0.0
Notification rate ,N/1000000,2015-11-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-11-01,RO,Romania,50325.479999999996
Notification rate ,N/1000000,2015-11-01,SE,Sweden,0.0
Notification rate ,N/1000000,2015-11-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2015-11-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-11-01,UK,United Kingdom,138774.54
Notification rate ,N/1000000,2015-12-01,AT,Austria,232966.48
Notification rate ,N/1000000,2015-12-01,BE,Belgium,88989.55
Notification rate ,N/1000000,2015-12-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2015-12-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2015-12-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2015-12-01,DE,Germany,49262.57
Notification rate ,N/1000000,2015-12-01,DK,Denmark,0.0
Notification rate ,N/1000000,2015-12-01,EE,Estonia,2281594.37
Notification rate ,N/1000000,2015-12-01,EL,Greece,0.0
Notification rate ,N/1000000,2015-12-01,ES,Spain,0.0
Notification rate ,N/1000000,2015-12-01,FI,Finland,182756.78
Notification rate ,N/1000000,2015-12-01,FR,France,165517.69
Notification rate ,N/1000000,2015-12-01,HR,Croatia,0.0
Notification rate ,N/1000000,2015-12-01,HU,Hungary,0.0
Notification rate ,N/1000000,2015-12-01,IE,Ireland,0.0
Notification rate ,N/1000000,2015-12-01,IS,Iceland,0.0
Notification rate ,N/1000000,2015-12-01,IT,Italy,740184.99
Notification rate ,N/1000000,2015-12-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2015-12-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2015-12-01,LV,Latvia,0.0
Notification rate ,N/1000000,2015-12-01,MT,Malta,0.0
Notification rate ,N/1000000,2015-12-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2015-12-01,NO,Norway,0.0
Notification rate ,N/1000000,2015-12-01,PL,Poland,78935.7
Notification rate ,N/1000000,2015-12-01,PT,Portugal,0.0
Notification rate ,N/1000000,2015-12-01,RO,Romania,0.0
Notification rate ,N/1000000,2015-12-01,SE,Sweden,0.0
Notification rate ,N/1000000,2015-12-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2015-12-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2015-12-01,UK,United Kingdom,185032.72
Notification rate ,N/1000000,2016-01-01,AT,Austria,0.0
Notification rate ,N/1000000,2016-01-01,BE,Belgium,176817.19
Notification rate ,N/1000000,2016-01-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2016-01-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2016-01-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2016-01-01,DE,Germany,73014.29
Notification rate ,N/1000000,2016-01-01,DK,Denmark,0.0
Notification rate ,N/1000000,2016-01-01,EE,Estonia,759910.75
Notification rate ,N/1000000,2016-01-01,EL,Greece,0.0
Notification rate ,N/1000000,2016-01-01,ES,Spain,0.0
Notification rate ,N/1000000,2016-01-01,FI,Finland,182238.72
Notification rate ,N/1000000,2016-01-01,FR,France,270114.56
Notification rate ,N/1000000,2016-01-01,HR,Croatia,0.0
Notification rate ,N/1000000,2016-01-01,HU,Hungary,0.0
Notification rate ,N/1000000,2016-01-01,IE,Ireland,0.0
Notification rate ,N/1000000,2016-01-01,IS,Iceland,0.0
Notification rate ,N/1000000,2016-01-01,IT,Italy,1285737.93
Notification rate ,N/1000000,2016-01-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2016-01-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2016-01-01,LV,Latvia,0.0
Notification rate ,N/1000000,2016-01-01,MT,Malta,0.0
Notification rate ,N/1000000,2016-01-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2016-01-01,NO,Norway,0.0
Notification rate ,N/1000000,2016-01-01,PL,Poland,0.0
Notification rate ,N/1000000,2016-01-01,PT,Portugal,0.0
Notification rate ,N/1000000,2016-01-01,RO,Romania,303634.73000000004
Notification rate ,N/1000000,2016-01-01,SE,Sweden,0.0
Notification rate ,N/1000000,2016-01-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2016-01-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2016-01-01,UK,United Kingdom,61181.68
Notification rate ,N/1000000,2016-02-01,AT,Austria,0.0
Notification rate ,N/1000000,2016-02-01,BE,Belgium,618860.1799999999
Notification rate ,N/1000000,2016-02-01,BG,Bulgaria,139786.16
Notification rate ,N/1000000,2016-02-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2016-02-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2016-02-01,DE,Germany,48676.19
Notification rate ,N/1000000,2016-02-01,DK,Denmark,0.0
Notification rate ,N/1000000,2016-02-01,EE,Estonia,0.0
Notification rate ,N/1000000,2016-02-01,EL,Greece,0.0
Notification rate ,N/1000000,2016-02-01,ES,Spain,0.0
Notification rate ,N/1000000,2016-02-01,FI,Finland,0.0
Notification rate ,N/1000000,2016-02-01,FR,France,210089.1
Notification rate ,N/1000000,2016-02-01,HR,Croatia,0.0
Notification rate ,N/1000000,2016-02-01,HU,Hungary,0.0
Notification rate ,N/1000000,2016-02-01,IE,Ireland,211582.62
Notification rate ,N/1000000,2016-02-01,IS,Iceland,0.0
Notification rate ,N/1000000,2016-02-01,IT,Italy,1351673.2
Notification rate ,N/1000000,2016-02-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2016-02-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2016-02-01,LV,Latvia,0.0
Notification rate ,N/1000000,2016-02-01,MT,Malta,0.0
Notification rate ,N/1000000,2016-02-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2016-02-01,NO,Norway,0.0
Notification rate ,N/1000000,2016-02-01,PL,Poland,0.0
Notification rate ,N/1000000,2016-02-01,PT,Portugal,0.0
Notification rate ,N/1000000,2016-02-01,RO,Romania,2024231.57
Notification rate ,N/1000000,2016-02-01,SE,Sweden,0.0
Notification rate ,N/1000000,2016-02-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2016-02-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2016-02-01,UK,United Kingdom,336499.26
Notification rate ,N/1000000,2016-03-01,AT,Austria,0.0
Notification rate ,N/1000000,2016-03-01,BE,Belgium,1768171.9600000002
Notification rate ,N/1000000,2016-03-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2016-03-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2016-03-01,CZ,Czech Republic,94752.21
Notification rate ,N/1000000,2016-03-01,DE,Germany,194704.78999999998
Notification rate ,N/1000000,2016-03-01,DK,Denmark,0.0
Notification rate ,N/1000000,2016-03-01,EE,Estonia,0.0
Notification rate ,N/1000000,2016-03-01,EL,Greece,0.0
Notification rate ,N/1000000,2016-03-01,ES,Spain,193798.03
Notification rate ,N/1000000,2016-03-01,FI,Finland,0.0
Notification rate ,N/1000000,2016-03-01,FR,France,180076.37000000002
Notification rate ,N/1000000,2016-03-01,HR,Croatia,0.0
Notification rate ,N/1000000,2016-03-01,HU,Hungary,0.0
Notification rate ,N/1000000,2016-03-01,IE,Ireland,0.0
Notification rate ,N/1000000,2016-03-01,IS,Iceland,0.0
Notification rate ,N/1000000,2016-03-01,IT,Italy,1203318.8299999998
Notification rate ,N/1000000,2016-03-01,LT,Lithuania,0.0
Notification rate ,N/1000000,2016-03-01,LU,Luxembourg,0.0
Notification rate ,N/1000000,2016-03-01,LV,Latvia,0.0
Notification rate ,N/1000000,2016-03-01,MT,Malta,0.0
Notification rate ,N/1000000,2016-03-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2016-03-01,NO,Norway,0.0
Notification rate ,N/1000000,2016-03-01,PL,Poland,52677.03
Notification rate ,N/1000000,2016-03-01,PT,Portugal,0.0
Notification rate ,N/1000000,2016-03-01,RO,Romania,3188164.72
Notification rate ,N/1000000,2016-03-01,SE,Sweden,0.0
Notification rate ,N/1000000,2016-03-01,SI,Slovenia,0.0
Notification rate ,N/1000000,2016-03-01,SK,Slovakia,0.0
Notification rate ,N/1000000,2016-03-01,UK,United Kingdom,672998.52
Notification rate ,N/1000000,2016-04-01,AT,Austria,229872.61000000002
Notification rate ,N/1000000,2016-04-01,BE,Belgium,1149311.77
Notification rate ,N/1000000,2016-04-01,BG,Bulgaria,0.0
Notification rate ,N/1000000,2016-04-01,CY,Cyprus,0.0
Notification rate ,N/1000000,2016-04-01,CZ,Czech Republic,0.0
Notification rate ,N/1000000,2016-04-01,DE,Germany,340733.39
Notification rate ,N/1000000,2016-04-01,DK,Denmark,175215.7
